6.32875, 36.988, 4.34284, 36.751, 4.46131, 35.7581, 6.44722, 35.995, 
8.70615, 37.5594, 6.75885, 37.1033, 6.98691, 36.1296, 8.93421, 36.5858, 
11.2805, 37.734, 9.2856, 37.5913, 9.35696, 36.5939, 11.3519, 36.7366, 
3.86191, 36.6898, 1.86888, 36.523, 1.9523, 35.5265, 3.94533, 35.6933, 
6.32644, 36.9877, 4.34052, 36.7508, 4.45896, 35.7578, 6.44489, 35.9947, 
8.70394, 37.5589, 6.75659, 37.103, 6.98455, 36.1293, 8.93189, 36.5852, 
11.2781, 37.7339, 9.28326, 37.5909, 9.35476, 36.5934, 11.3496, 36.7364, 
3.85927, 36.6896, 1.86628, 36.5224, 1.94988, 35.5259, 3.94288, 35.6931, 
6.32393, 36.9874, 4.338, 36.7506, 4.45641, 35.7576, 6.44234, 35.9944, 
8.70153, 37.5583, 6.75414, 37.1026, 6.98198, 36.1289, 8.92938, 36.5846, 
11.2756, 37.7337, 9.28071, 37.5904, 9.35237, 36.5929, 11.3472, 36.7363, 
3.85644, 36.6894, 1.86347, 36.5219, 1.94725, 35.5254, 3.94022, 35.6929, 
6.32122, 36.987, 4.33528, 36.7503, 4.45365, 35.7573, 6.43959, 35.9941, 
8.69893, 37.5577, 6.75148, 37.1022, 6.9792, 36.1285, 8.92665, 36.584, 
11.2728, 37.7335, 9.27795, 37.5899, 9.34979, 36.5924, 11.3446, 36.7361, 
3.8534, 36.6892, 1.86046, 36.5213, 1.9444, 35.5248, 3.93734, 35.6927, 
6.3183, 36.9867, 4.33235, 36.75, 4.45068, 35.7571, 6.43662, 35.9937, 
8.69613, 37.557, 6.74862, 37.1018, 6.97622, 36.1281, 8.92373, 36.5833, 
11.2698, 37.7333, 9.27498, 37.5893, 9.347, 36.5919, 11.3418, 36.7359, 
3.85017, 36.6889, 1.85725, 36.5208, 1.94133, 35.5243, 3.93425, 35.6925, 
6.31517, 36.9863, 4.32921, 36.7498, 4.4475, 35.7568, 6.43346, 35.9933, 
8.69313, 37.5563, 6.74556, 37.1014, 6.97302, 36.1276, 8.92059, 36.5825, 
11.2666, 37.7331, 9.27181, 37.5887, 9.34403, 36.5913, 11.3388, 36.7357, 
3.84675, 36.6887, 1.85385, 36.5203, 1.93804, 35.5238, 3.93094, 35.6922, 
6.31184, 36.9859, 4.32587, 36.7494, 4.44411, 35.7565, 6.43008, 35.9929, 
8.68994, 37.5555, 6.7423, 37.1009, 6.96961, 36.1271, 8.91726, 36.5817, 
11.2632, 37.7329, 9.26843, 37.588, 9.34085, 36.5907, 11.3356, 36.7355, 
3.84313, 36.6884, 1.85025, 36.5198, 1.93452, 35.5234, 3.92741, 35.6919, 
6.30831, 36.9855, 4.32233, 36.7491, 4.44051, 35.7561, 6.4265, 35.9925, 
8.68655, 37.5547, 6.73884, 37.1004, 6.966, 36.1265, 8.91371, 36.5809, 
11.2596, 37.7326, 9.26484, 37.5873, 9.33748, 36.59, 11.3322, 36.7353, 
3.83932, 36.688, 1.84645, 36.5194, 1.93078, 35.5229, 3.92365, 35.6916, 
6.30457, 36.985, 4.31857, 36.7488, 4.43671, 35.7558, 6.42271, 35.992, 
8.68296, 37.5539, 6.73517, 37.0999, 6.96217, 36.126, 8.90996, 36.58, 
11.2557, 37.7324, 9.26104, 37.5866, 9.33392, 36.5893, 11.3286, 36.735, 
3.83533, 36.6877, 1.84245, 36.519, 1.9268, 35.5226, 3.91967, 35.6913, 
6.30062, 36.9846, 4.31462, 36.7484, 4.4327, 35.7554, 6.41871, 35.9916, 
8.67918, 37.553, 6.73131, 37.0993, 6.95814, 36.1254, 8.90601, 36.579, 
11.2517, 37.7321, 9.25703, 37.5859, 9.33016, 36.5885, 11.3248, 36.7348, 
