0,0,0
0.0035,0,0.0035
0.0104993,0,0.0104993
0.0209962,0,0.0209962
0.0349878,0,0.0349878
0.0524703,0,0.0524703
0.0734388,0,0.0734388
0.0978874,0,0.0978874
0.125809,0,0.125809
0.157196,0,0.157196
0.192039,0,0.192039
0.230327,0,0.230327
0.272051,0,0.272051
0.317197,0,0.317197
0.365753,0,0.365753
0.417705,0,0.417705
0.473036,0,0.473036
0.531732,0,0.531732
0.593775,0,0.593775
0.659147,0,0.659147
0.727829,0,0.727829
0.7998,0,0.7998
0.875041,0,0.875041
0.953528,0,0.953528
1.03524,0,1.03524
1.12015,0,1.12015
1.20824,0,1.20824
1.29948,0,1.29948
1.39384,0,1.39384
1.4913,0,1.4913
1.59182,0,1.59182
1.69539,0,1.69539
1.80196,0,1.80196
1.91152,0,1.91152
2.02402,0,2.02402
2.13943,0,2.13943
2.25773,0,2.25773
2.37888,0,2.37888
2.50284,0,2.50284
2.62958,0,2.62958
2.75906,0,2.75906
2.89125,0,2.89125
3.0261,0,3.0261
3.16359,0,3.16359
3.30367,0,3.30367
3.4463,0,3.4463
3.59145,0,3.59145
3.73907,0,3.73907
3.88912,0,3.88912
3.99,0,3.99
3.99,0.15,4.14
3.99,0.3,4.29
3.99,0.45,4.44
3.99,0.6,4.59
3.99,0.75,4.74
3.99,0.9,4.89
3.99,1.05,5.04
4.14,1.05,5.19
4.29,1.05,5.34
4.44,1.05,5.49
4.59,1.05,5.64
4.74,1.05,5.79
4.89,1.05,5.94
5.04,1.05,6.09
5.04,0.9,6.24
5.04,0.75,6.39
5.04,0.6,6.54
5.04,0.45,6.69
5.04,0.3,6.84
5.04,0.15,6.99
5.04,-5.55112e-017,7.14
5.04,-5.55112e-017,7.14
5.043,-5.55056e-017,7.143
5.04899,-5.54945e-017,7.14899
5.05797,-5.54779e-017,7.15797
5.06995,-5.54557e-017,7.16995
5.08491,-5.54279e-017,7.18491
5.10286,-5.53947e-017,7.20286
5.12379,-5.53559e-017,7.22379
5.14769,-5.53116e-017,7.24769
5.17456,-5.52618e-017,7.27456
5.20438,-5.52066e-017,7.30438
5.23716,-5.51458e-017,7.33716
5.27288,-5.50797e-017,7.37288
5.31152,-5.50081e-017,7.41152
5.35308,-5.49311e-017,7.45308
5.39755,-5.48487e-017,7.49755
5.44492,-5.47609e-017,7.54492
5.49516,-5.46678e-017,7.59516
5.54827,-5.45694e-017,7.64827
5.60423,-5.44657e-017,7.70423
5.66302,-5.43568e-017,7.76302
5.72463,-5.42426e-017,7.82463
5.78903,-5.41233e-017,7.88903
5.85622,-5.39988e-017,7.95622
5.92616,-5.38692e-017,8.02616
5.99885,-5.37346e-017,8.09885
6.07425,-5.35948e-017,8.17425
6.15235,-5.34501e-017,8.25235
6.23312,-5.33005e-017,8.33312
6.31655,-5.31459e-017,8.41655
6.4026,-5.29865e-017,8.5026
6.49125,-5.28222e-017,8.59125
6.58248,-5.26532e-017,8.68248
6.67626,-5.24794e-017,8.77626
6.77256,-5.2301e-017,8.87256
6.87135,-5.21179e-017,8.97135
6.97262,-5.19303e-017,9.07262
7.07632,-5.17382e-017,9.17632
7.18243,-5.15416e-017,9.28243
7.29092,-5.13406e-017,9.39092
7.40175,-5.11352e-017,9.50175
7.51491,-5.09255e-017,9.61491
7.63034,-5.07117e-017,9.73034
7.74803,-5.04936e-017,9.84803
7.86794,-5.02714e-017,9.96794
7.99004,-5.00452e-017,10.09
8.11428,-4.9815e-017,10.2143
8.24064,-4.95809e-017,10.3406
8.36909,-4.93429e-017,10.4691
8.49958,-4.91011e-017,10.5996
8.63208,-4.88556e-017,10.7321
8.76656,-4.86064e-017,10.8666
8.90297,-4.83537e-017,11.003
9.04129,-4.80974e-017,11.1413
9.18146,-4.78377e-017,11.2815
9.32347,-4.75746e-017,11.4235
9.46726,-4.73081e-017,11.5673
9.61279,-4.70385e-017,11.7128
9.76004,-4.67657e-017,11.86
9.90895,-4.64897e-017,12.009
10.0595,-4.62108e-017,12.1595
10.2116,-4.59289e-017,12.3116
10.3653,-4.56442e-017,12.4653
10.5205,-4.53566e-017,12.6205
10.6772,-4.50663e-017,12.7772
10.8353,-4.47734e-017,12.9353
10.9948,-4.44779e-017,13.0948
11.1556,-4.41799e-017,13.2556
11.3178,-4.38795e-017,13.4178
11.4812,-4.35767e-017,13.5812
11.6458,-4.32717e-017,13.7458
11.8116,-4.29644e-017,13.9116
11.9786,-4.26551e-017,14.0786
12.1466,-4.23437e-017,14.2466
12.3157,-4.20304e-017,14.4157
12.4859,-4.17151e-017,14.5859
12.657,-4.13981e-017,14.757
12.829,-4.10793e-017,14.929
13.002,-4.07589e-017,15.102
13.1757,-4.04369e-017,15.2757
13.3503,-4.01134e-017,15.4503
13.5257,-3.97885e-017,15.6257
13.7018,-3.94622e-017,15.8018
13.8786,-3.91347e-017,15.9786
13.9238,-3.84412e-017,16.0238
