-1, -4, -4.62959, -1.63934
-1, -3.5, -4.67162, -1.43335
-1, -3, -4.70068, -1.21981
-1, -2.5, -4.71524, -1.00116
-1, -2, -4.7148, -0.780789
-1, -1.5, -4.70056, -0.562859
-1, -1, -4.67612, -0.351562
-1, -0.5, -4.64749, -0.149849
-1, 0, -4.62197, 0.042003
-1, 0.5, -4.60577, 0.227038
-1, 1, -4.59039, 0.452679
-1, 1.5, -4.56507, 0.675566
-1, 2, -4.54132, 0.852424
-1, 2.5, -4.52831, 1.03092
-1, 3, -4.52047, 1.21447
-1, 3.5, -4.51104, 1.40331
-1, 4, -4.49442, 1.59508
-0.5, -4, -4.58977, -1.68697
-0.5, -3.5, -4.62957, -1.46729
-0.5, -3, -4.6522, -1.23761
-0.5, -2.5, -4.65458, -1.00101
-0.5, -2, -4.63479, -0.762497
-0.5, -1.5, -4.59368, -0.529074
-0.5, -1, -4.53674, -0.308769
-0.5, -0.5, -4.47517, -0.108032
-0.5, 0, -4.4242, 0.0719754
-0.5, 0.5, -4.39775, 0.237826
-0.5, 1, -4.38089, 0.474045
-0.5, 1.5, -4.35316, 0.707107
-0.5, 2, -4.33589, 0.863585
-0.5, 2.5, -4.34486, 1.02831
-0.5, 3, -4.36688, 1.20833
-0.5, 3.5, -4.38735, 1.40311
-0.5, 4, -4.39554, 1.60691
0, -4, -4.54661, -1.73381
0, -3.5, -4.5833, -1.49633
0, -3, -4.5967, -1.24431
0, -2.5, -4.58055, -0.98111
0, -2, -4.52924, -0.713677
0, -1.5, -4.44085, -0.453801
0, -1, -4.32213, -0.21764
0, -0.5, -4.19343, -0.0210222
0, 0, -4.08798, 0.130289
0, 0.5, -4.03961, 0.249688
0, 1, -4.02104, 0.497519
0, 1.5, -3.99053, 0.741702
0, 2, -3.99088, 0.850292
0, 2.5, -4.05038, 0.984012
0, 3, -4.13608, 1.15686
0, 3.5, -4.21546, 1.36385
0, 4, -4.26872, 1.59005
0.5, -4, -4.50123, -1.77986
0.5, -3.5, -4.53462, -1.51907
0.5, -3, -4.53635, -1.23549
0.5, -2.5, -4.49409, -0.931186
0.5, -2, -4.39354, -0.614043
0.5, -1.5, -4.22284, -0.302495
0.5, -1, -3.98397, -0.0291436
0.5, -0.5, -3.71055, 0.164718
0.5, 0, -3.47793, 0.253678
0.5, 0.5, -3.37693, 0.262794
0.5, 1, -3.35637, 0.523424
0.5, 1.5, -3.32265, 0.779813
